t,y,c,k,k_next,z_index
89,1.5750835977550093,1.335083597755009,3.0,3.0,5
90,1.5750835977550093,1.335083597755009,3.0,3.0,5
91,1.5750835977550093,1.335083597755009,3.0,3.0,5
92,1.6490370237724519,1.409037023772452,3.0,3.0,6
93,1.5750835977550093,1.335083597755009,3.0,3.0,5
94,1.5750835977550093,1.335083597755009,3.0,3.0,5
95,1.6490370237724519,1.409037023772452,3.0,3.0,6
96,1.6490370237724519,1.409037023772452,3.0,3.0,6
97,1.5750835977550093,1.335083597755009,3.0,3.0,5
98,1.6490370237724519,1.409037023772452,3.0,3.0,6
99,1.6490370237724519,1.409037023772452,3.0,3.0,6
100,1.6490370237724519,1.409037023772452,3.0,3.0,6
101,1.6490370237724519,1.409037023772452,3.0,3.0,6
102,1.5750835977550093,1.335083597755009,3.0,3.0,5
103,1.5750835977550093,1.335083597755009,3.0,3.0,5
104,1.5750835977550093,1.335083597755009,3.0,3.0,5
105,1.5750835977550093,1.335083597755009,3.0,3.0,5
106,1.5750835977550093,1.335083597755009,3.0,3.0,5
107,1.5750835977550093,1.335083597755009,3.0,3.0,5
108,1.5750835977550093,1.335083597755009,3.0,3.0,5
109,1.5044467189956787,1.2644467189956785,3.0,3.0,4
110,1.5044467189956787,1.2644467189956785,3.0,3.0,4
111,1.5044467189956787,1.2644467189956785,3.0,3.0,4
112,1.4369776521848516,1.1969776521848523,3.0,3.0,3
113,1.4369776521848516,1.1969776521848523,3.0,3.0,3
114,1.3725343322608021,1.1325343322608026,3.0,3.0,2
115,1.3725343322608021,1.1325343322608026,3.0,3.0,2
116,1.3725343322608021,1.1325343322608026,3.0,3.0,2
117,1.4369776521848516,1.1969776521848523,3.0,3.0,3
118,1.3725343322608021,1.1325343322608026,3.0,3.0,2
119,1.4369776521848516,1.1969776521848523,3.0,3.0,3
120,1.3725343322608021,1.1325343322608026,3.0,3.0,2
121,1.3725343322608021,1.1325343322608026,3.0,3.0,2
122,1.3725343322608021,1.1325343322608026,3.0,3.0,2
123,1.4369776521848516,1.1969776521848523,3.0,3.0,3
124,1.4369776521848516,1.1969776521848523,3.0,3.0,3
125,1.4369776521848516,1.1969776521848523,3.0,3.0,3
126,1.4369776521848516,1.1969776521848523,3.0,3.0,3
127,1.5044467189956787,1.2644467189956785,3.0,3.0,4
128,1.5044467189956787,1.2644467189956785,3.0,3.0,4
129,1.4369776521848516,1.1969776521848523,3.0,3.0,3
130,1.4369776521848516,1.1969776521848523,3.0,3.0,3
131,1.4369776521848516,1.1969776521848523,3.0,3.0,3
132,1.4369776521848516,1.1969776521848523,3.0,3.0,3
133,1.4369776521848516,1.1969776521848523,3.0,3.0,3
134,1.4369776521848516,1.1969776521848523,3.0,3.0,3
135,1.4369776521848516,1.1969776521848523,3.0,3.0,3
136,1.4369776521848516,1.1969776521848523,3.0,3.0,3
137,1.4369776521848516,1.1969776521848523,3.0,3.0,3
138,1.4369776521848516,1.1969776521848523,3.0,3.0,3
139,1.5044467189956787,1.2644467189956785,3.0,3.0,4
140,1.5044467189956787,1.2644467189956785,3.0,3.0,4
141,1.5044467189956787,1.2644467189956785,3.0,3.0,4
142,1.5044467189956787,1.2644467189956785,3.0,3.0,4
143,1.5044467189956787,1.2644467189956785,3.0,3.0,4
144,1.4369776521848516,1.1969776521848523,3.0,3.0,3
145,1.4369776521848516,1.1969776521848523,3.0,3.0,3
146,1.5044467189956787,1.2644467189956785,3.0,3.0,4
147,1.4369776521848516,1.1969776521848523,3.0,3.0,3
148,1.4369776521848516,1.1969776521848523,3.0,3.0,3
149,1.4369776521848516,1.1969776521848523,3.0,3.0,3
150,1.4369776521848516,1.1969776521848523,3.0,3.0,3
151,1.3725343322608021,1.1325343322608026,3.0,3.0,2
152,1.3725343322608021,1.1325343322608026,3.0,3.0,2
153,1.310981065272871,1.0709810652728713,3.0,3.0,1
154,1.310981065272871,1.0709810652728713,3.0,3.0,1
155,1.310981065272871,1.0709810652728713,3.0,3.0,1
156,1.310981065272871,1.0709810652728713,3.0,3.0,1
157,1.3725343322608021,1.1325343322608026,3.0,3.0,2
158,1.3725343322608021,1.1325343322608026,3.0,3.0,2
159,1.4369776521848516,1.1969776521848523,3.0,3.0,3
160,1.3725343322608021,1.1325343322608026,3.0,3.0,2
161,1.3725343322608021,1.1325343322608026,3.0,3.0,2
162,1.3725343322608021,1.1325343322608026,3.0,3.0,2
163,1.3725343322608021,1.1325343322608026,3.0,3.0,2
164,1.4369776521848516,1.1969776521848523,3.0,3.0,3
165,1.4369776521848516,1.1969776521848523,3.0,3.0,3
166,1.4369776521848516,1.1969776521848523,3.0,3.0,3
167,1.4369776521848516,1.1969776521848523,3.0,3.0,3
168,1.4369776521848516,1.1969776521848523,3.0,3.0,3
169,1.5044467189956787,1.2644467189956785,3.0,3.0,4
170,1.5044467189956787,1.2644467189956785,3.0,3.0,4
171,1.5044467189956787,1.2644467189956785,3.0,3.0,4
172,1.5750835977550093,1.335083597755009,3.0,3.0,5
173,1.5750835977550093,1.335083597755009,3.0,3.0,5
174,1.5044467189956787,1.2644467189956785,3.0,3.0,4
175,1.5044467189956787,1.2644467189956785,3.0,3.0,4
176,1.5044467189956787,1.2644467189956785,3.0,3.0,4
177,1.5044467189956787,1.2644467189956785,3.0,3.0,4
178,1.5750835977550093,1.335083597755009,3.0,3.0,5
179,1.5750835977550093,1.335083597755009,3.0,3.0,5
180,1.5750835977550093,1.335083597755009,3.0,3.0,5
181,1.5750835977550093,1.335083597755009,3.0,3.0,5
182,1.5750835977550093,1.335083597755009,3.0,3.0,5
183,1.5044467189956787,1.2644467189956785,3.0,3.0,4
184,1.5044467189956787,1.2644467189956785,3.0,3.0,4
185,1.5044467189956787,1.2644467189956785,3.0,3.0,4
186,1.4369776521848516,1.1969776521848523,3.0,3.0,3
187,1.4369776521848516,1.1969776521848523,3.0,3.0,3
188,1.5044467189956787,1.2644467189956785,3.0,3.0,4
189,1.5044467189956787,1.2644467189956785,3.0,3.0,4
190,1.5044467189956787,1.2644467189956785,3.0,3.0,4
191,1.5044467189956787,1.2644467189956785,3.0,3.0,4
192,1.5044467189956787,1.2644467189956785,3.0,3.0,4
193,1.5044467189956787,1.2644467189956785,3.0,3.0,4
194,1.4369776521848516,1.1969776521848523,3.0,3.0,3
195,1.5044467189956787,1.2644467189956785,3.0,3.0,4
196,1.5044467189956787,1.2644467189956785,3.0,3.0,4
197,1.4369776521848516,1.1969776521848523,3.0,3.0,3
198,1.4369776521848516,1.1969776521848523,3.0,3.0,3
199,1.5044467189956787,1.2644467189956785,3.0,3.0,4
