t,y_irf,c_irf
0,1.0,0.6006722689075628
1,2.1915247700538347,1.7918609045076166
2,1.1710054280973436,0.7688205541477637
3,1.2330222021664887,0.8299969920824548
4,1.2851282555718846,0.9039517849836494
5,1.3254870858259675,0.948512295910001
6,1.3597898462708151,1.0097058126573701
7,1.385303359289114,1.0444630231546603
8,1.4064368053816476,1.0765208389950933
9,1.4235680405412494,1.1272655195328465
10,1.4336490847316672,1.1743213536392307
11,1.4369776521848516,1.1969776521848523
12,1.4369776521848516,1.1969776521848523
13,1.4369776521848516,1.1969776521848523
14,1.4369776521848516,1.1969776521848523
15,1.4369776521848516,1.1969776521848523
16,1.4369776521848516,1.1969776521848523
17,1.4369776521848516,1.1969776521848523
18,1.4369776521848516,1.1969776521848523
19,1.4369776521848516,1.1969776521848523
20,1.4369776521848516,1.1969776521848523
21,1.4369776521848516,1.1969776521848523
22,1.4369776521848516,1.1969776521848523
23,1.4369776521848516,1.1969776521848523
24,1.4369776521848516,1.1969776521848523
25,1.4369776521848516,1.1969776521848523
26,1.4369776521848516,1.1969776521848523
27,1.4369776521848516,1.1969776521848523
28,1.4369776521848516,1.1969776521848523
29,1.4369776521848516,1.1969776521848523
30,1.4369776521848516,1.1969776521848523
31,1.4369776521848516,1.1969776521848523
32,1.4369776521848516,1.1969776521848523
33,1.4369776521848516,1.1969776521848523
34,1.4369776521848516,1.1969776521848523
35,1.4369776521848516,1.1969776521848523
36,1.4369776521848516,1.1969776521848523
37,1.4369776521848516,1.1969776521848523
38,1.4369776521848516,1.1969776521848523
39,1.4369776521848516,1.1969776521848523
